paises;quantidade_kg;valor;categorias;ano
Vietnã;-;-;Espumantes;2011
Outros(1);-;-;Espumantes;2011
Total;111.882;568.390;Espumantes;2011
Africa do Sul;-;-;Uvas frescas;2011
Alemanha, República Democrática;1.167.243;2.430.345;Uvas frescas;2011
Angola;-;-;Uvas frescas;2011
Antígua e Barbuda;-;-;Uvas frescas;2011
Arabia Saudita;15.300;30.600;Uvas frescas;2011
Argélia;-;-;Uvas frescas;2011
Argentina;264.816;471.205;Uvas frescas;2011
Áustria;-;-;Uvas frescas;2011
Bahamas;-;-;Uvas frescas;2011
Bahrein;-;-;Uvas frescas;2011
Bangladesh;-;-;Uvas frescas;2011
Barbados;-;-;Uvas frescas;2011
Barein;-;-;Uvas frescas;2011
Bélgica;122.727;271.655;Uvas frescas;2011
Belize;-;-;Uvas frescas;2011
Bermudas;-;-;Uvas frescas;2011
Bolívia;-;-;Uvas frescas;2011
Bosnia;-;-;Uvas frescas;2011
Brasil;-;-;Uvas frescas;2011
Bulgária;-;-;Uvas frescas;2011
Burquina Faso;-;-;Uvas frescas;2011
Cabo Verde;-;-;Uvas frescas;2011
Camarões;-;-;Uvas frescas;2011
Camores;-;-;Uvas frescas;2011
Canadá;834.800;2.251.696;Uvas frescas;2011
Catar;-;-;Uvas frescas;2011
Cayman, Ilhas;-;-;Uvas frescas;2011
Chile;-;-;Uvas frescas;2011
China;-;-;Uvas frescas;2011
Chipre;-;-;Uvas frescas;2011
Cingapura;-;-;Uvas frescas;2011
Cocos (Keeling), Ilhas;-;-;Uvas frescas;2011
Colombia;-;-;Uvas frescas;2011
Congo;-;-;Uvas frescas;2011
Coreia do Norte;-;-;Uvas frescas;2011
Coreia do Sul;-;-;Uvas frescas;2011
Costa do Marfim;-;-;Uvas frescas;2011
Coveite;-;-;Uvas frescas;2011
Croácia;-;-;Uvas frescas;2011
Curaçao;-;-;Uvas frescas;2011
Dinamarca;12.480;34.597;Uvas frescas;2011
Djibuti;-;-;Uvas frescas;2011
Egito;-;-;Uvas frescas;2011
Emirados Arabes Unidos;50.184;109.956;Uvas frescas;2011
Eslovenia;-;-;Uvas frescas;2011
Espanha;12.480;33.723;Uvas frescas;2011
Estados Unidos;16.251.053;37.440.295;Uvas frescas;2011
Falkland (Ilhas Malvinas);-;-;Uvas frescas;2011
Faroé, Ilhas;-;-;Uvas frescas;2011
Filipinas;-;-;Uvas frescas;2011
Finlândia;-;-;Uvas frescas;2011
França;-;-;Uvas frescas;2011
Gabão;-;-;Uvas frescas;2011
Gana;-;-;Uvas frescas;2011
Georgia;-;-;Uvas frescas;2011
Gibraltar;-;-;Uvas frescas;2011
Grêcia;-;-;Uvas frescas;2011
Guadalupe;-;-;Uvas frescas;2011
Guiana;-;-;Uvas frescas;2011
Guiana Francesa;-;-;Uvas frescas;2011
Guine Equatorial;-;-;Uvas frescas;2011
Honduras;-;-;Uvas frescas;2011
Hong Kong;-;-;Uvas frescas;2011
Ilha de Man;-;-;Uvas frescas;2011
Ilhas Virgens;-;-;Uvas frescas;2011
Índia;-;-;Uvas frescas;2011
Indonésia;-;-;Uvas frescas;2011
Irã;-;-;Uvas frescas;2011
Irlanda;88.760;135.771;Uvas frescas;2011
Islandia;-;-;Uvas frescas;2011
Itália;115.000;315.501;Uvas frescas;2011
Japão;-;-;Uvas frescas;2011
Jérsei;-;-;Uvas frescas;2011
Jordânia;-;-;Uvas frescas;2011
Letonia;-;-;Uvas frescas;2011
Líbano;-;-;Uvas frescas;2011
Libéria;-;-;Uvas frescas;2011
Líbia;-;-;Uvas frescas;2011
Lituania;114.350;245.434;Uvas frescas;2011
Luxemburgo;-;-;Uvas frescas;2011
Malasia;-;-;Uvas frescas;2011
Malta;-;-;Uvas frescas;2011
Marrocos;-;-;Uvas frescas;2011
Marshall, Ilhas;-;-;Uvas frescas;2011
Martinica;-;-;Uvas frescas;2011
Mauricio;-;-;Uvas frescas;2011
Mauritânia;-;-;Uvas frescas;2011
Mexico;-;-;Uvas frescas;2011
Mônaco;-;-;Uvas frescas;2011
Mongólia;-;-;Uvas frescas;2011
Montenegro;-;-;Uvas frescas;2011
Nigéria;-;-;Uvas frescas;2011
Noruega;963.990;2.631.452;Uvas frescas;2011
Omã;-;-;Uvas frescas;2011
Países Baixos;25.334.471;56.063.878;Uvas frescas;2011
Panamá;-;-;Uvas frescas;2011
Paquistão;-;-;Uvas frescas;2011
Paraguai;-;-;Uvas frescas;2011
Polonia;-;-;Uvas frescas;2011
Porto Rico;-;-;Uvas frescas;2011
Portugal;18;28;Uvas frescas;2011
Reino Unido;13.266.351;31.910.142;Uvas frescas;2011
Republica Dominicana;-;-;Uvas frescas;2011
Romênia;-;-;Uvas frescas;2011
Russia,  Federação da;501.930;893.448;Uvas frescas;2011
Samoa Americana;-;-;Uvas frescas;2011
São Tomé e Principe;-;-;Uvas frescas;2011
São Vicente e Granadinas;-;-;Uvas frescas;2011
Serra Leoa;-;-;Uvas frescas;2011
Senegal;-;-;Uvas frescas;2011
Singapura;-;-;Uvas frescas;2011
Sri Lanka;-;-;Uvas frescas;2011
Suécia;240.313;422.429;Uvas frescas;2011
Suíça;-;-;Uvas frescas;2011
Suriname;-;-;Uvas frescas;2011
Tailândia;-;-;Uvas frescas;2011
Taiwan;-;-;Uvas frescas;2011
Togo;-;-;Uvas frescas;2011
Trindade e Tobago;-;-;Uvas frescas;2011
Turcas e Caicos, ilhas;-;-;Uvas frescas;2011
Turquia;-;-;Uvas frescas;2011
Tuvalu;-;-;Uvas frescas;2011
Uruguai;35.216;90.702;Uvas frescas;2011
Vanuatu;-;-;Uvas frescas;2011
Venezuela;-;-;Uvas frescas;2011
Vietnã;-;-;Uvas frescas;2011
Provisão de Navios e Aeronaves;-;-;Uvas frescas;2011
Total;59.391.482;135.782.857;Uvas frescas;2011
África do Sul;-;-;Suco de uva;2011
Alemanha, República Democrática da;-;-;Suco de uva;2011
Angola;-;-;Suco de uva;2011
Antígua e Barbuda;-;-;Suco de uva;2011
Antilhas Holandesas;-;-;Suco de uva;2011
Arábia Saudita;-;-;Suco de uva;2011
Argélia;-;-;Suco de uva;2011
Argentina;14.235;131.312;Suco de uva;2011
Aruba;-;-;Suco de uva;2011
Austrália;-;-;Suco de uva;2011
Áustria;-;-;Suco de uva;2011
Bahamas;-;-;Suco de uva;2011
Bangladesh;-;-;Suco de uva;2011
Barbados;-;-;Suco de uva;2011
Barein;-;-;Suco de uva;2011
Bélgica;-;-;Suco de uva;2011
Belize;-;-;Suco de uva;2011
Benin;-;-;Suco de uva;2011
Bermudas;-;-;Suco de uva;2011
Birmânia;-;-;Suco de uva;2011
Bolívia;3.375;8.958;Suco de uva;2011
Cabo Verde;-;-;Suco de uva;2011
Camarões;-;-;Suco de uva;2011
Canadá;-;-;Suco de uva;2011
Catar;-;-;Suco de uva;2011
Cayman, Ilhas;-;-;Suco de uva;2011
Chile;-;-;Suco de uva;2011
China;1.146;1.619;Suco de uva;2011
Chipre;-;-;Suco de uva;2011
Cingapura;-;-;Suco de uva;2011
Colômbia;-;-;Suco de uva;2011
Congo;-;-;Suco de uva;2011
Coreia do Sul;-;-;Suco de uva;2011
Costa do Marfim;-;-;Suco de uva;2011
Costa Rica;-;-;Suco de uva;2011
Coveite;-;-;Suco de uva;2011
Cuba;-;-;Suco de uva;2011
Curaçao;-;-;Suco de uva;2011
Dinamarca;-;-;Suco de uva;2011
Dominica, Ilha de;-;-;Suco de uva;2011
El Salvador;-;-;Suco de uva;2011
Emirados Árabes Unidos;-;-;Suco de uva;2011
Equador;-;-;Suco de uva;2011
Espanha;960;3.799;Suco de uva;2011
Estados Unidos;86.325;330.287;Suco de uva;2011
Falkland (Malvinas);-;-;Suco de uva;2011
Filipinas;-;-;Suco de uva;2011
Finlândia;-;-;Suco de uva;2011
França;-;-;Suco de uva;2011
Gana;-;-;Suco de uva;2011
Gibraltar;-;-;Suco de uva;2011
Granada;-;-;Suco de uva;2011
Grêcia;-;-;Suco de uva;2011
Guatemala;-;-;Suco de uva;2011
Guiana;-;-;Suco de uva;2011
Guiana Francesa;-;-;Suco de uva;2011
Guiné Bissau;-;-;Suco de uva;2011
Guine Equatorial;-;-;Suco de uva;2011
Haiti;-;-;Suco de uva;2011
Hong Kong;-;-;Suco de uva;2011
Hungria;-;-;Suco de uva;2011
Ilha de Man;-;-;Suco de uva;2011
India;-;-;Suco de uva;2011
Indonêsia;-;-;Suco de uva;2011
Irã;-;-;Suco de uva;2011
Iraque;-;-;Suco de uva;2011
Irlanda;-;-;Suco de uva;2011
Israel;-;-;Suco de uva;2011
Itália;-;-;Suco de uva;2011
Iugoslâvia;-;-;Suco de uva;2011
Jamaica;-;-;Suco de uva;2011
Japão;4.001.175;14.015.433;Suco de uva;2011
Líbano;-;-;Suco de uva;2011
Libêria;-;-;Suco de uva;2011
Líbia;-;-;Suco de uva;2011
Luxemburgo;-;-;Suco de uva;2011
Malásia;18.550;72.160;Suco de uva;2011
Malta;-;-;Suco de uva;2011
Marshall, Ilhas;-;-;Suco de uva;2011
Mauritânia;-;-;Suco de uva;2011
México;61.932;243.124;Suco de uva;2011
Moçambique;-;-;Suco de uva;2011
Mônaco;-;-;Suco de uva;2011
Montenegro;-;-;Suco de uva;2011
Namíbia;-;-;Suco de uva;2011
Nigéria;-;-;Suco de uva;2011
Noruega;-;-;Suco de uva;2011
Nova Caledônia;-;-;Suco de uva;2011
Nova Zelândia;-;-;Suco de uva;2011
Países Baixos;12.575;31.489;Suco de uva;2011
Panamá;-;-;Suco de uva;2011
Paquistão;-;-;Suco de uva;2011
Paraguai;14.707;26.178;Suco de uva;2011
Peru;11.925;47.343;Suco de uva;2011
Polônia;379;1.708;Suco de uva;2011
Porto Rico;74.200;293.092;Suco de uva;2011
Portugal;-;-;Suco de uva;2011
Quênia;-;-;Suco de uva;2011
Reino Unido;-;-;Suco de uva;2011
República Centro Africana;-;-;Suco de uva;2011
República Dominicana;38.160;151.549;Suco de uva;2011
República Federativa da Rússia;-;-;Suco de uva;2011
Rússia;-;-;Suco de uva;2011
São Tomé e Príncipe;-;-;Suco de uva;2011
Senegal;-;-;Suco de uva;2011
Serra Leoa;-;-;Suco de uva;2011
Singapura;-;-;Suco de uva;2011
Sri Lanka;-;-;Suco de uva;2011
Suécia;-;-;Suco de uva;2011
Suíça;-;-;Suco de uva;2011
Suriname;41.000;144.320;Suco de uva;2011
Tailândia;-;-;Suco de uva;2011
Taiwan (Formosa);-;-;Suco de uva;2011
Tanzânia;-;-;Suco de uva;2011
Tcheca, República;-;-;Suco de uva;2011
Togo;-;-;Suco de uva;2011
Trinidade e Tobago;18.550;71.232;Suco de uva;2011
Turquia;-;-;Suco de uva;2011
Uruguai;241;905;Suco de uva;2011
Vanuatu;-;-;Suco de uva;2011
Venezuela;52.680;163.175;Suco de uva;2011
Total;4.452.115;15.737.683;Suco de uva;2011
Afeganistão;-;-;Vinhos de mesa;2012
África do Sul;-;-;Vinhos de mesa;2012
Alemanha, República Democrática;8.189;56.342;Vinhos de mesa;2012
Angola;2.833;8.861;Vinhos de mesa;2012
Anguilla;-;-;Vinhos de mesa;2012
Antígua e Barbuda;-;-;Vinhos de mesa;2012
Antilhas Holandesas;9.247;14.081;Vinhos de mesa;2012
Argentina;-;-;Vinhos de mesa;2012
Aruba;-;-;Vinhos de mesa;2012
Austrália;9.345;56.045;Vinhos de mesa;2012
Áustria;-;-;Vinhos de mesa;2012
Bahamas;1.374;12.087;Vinhos de mesa;2012
Bangladesh;-;-;Vinhos de mesa;2012
Barbados;-;-;Vinhos de mesa;2012
Barein;-;-;Vinhos de mesa;2012
Bélgica;16.132;90.718;Vinhos de mesa;2012
Belice;-;-;Vinhos de mesa;2012
Benin;-;-;Vinhos de mesa;2012
Bolívia;11.868;16.804;Vinhos de mesa;2012
Bósnia-Herzegovina;-;-;Vinhos de mesa;2012
Brasil;-;-;Vinhos de mesa;2012
Bulgária;-;-;Vinhos de mesa;2012
Cabo Verde;-;-;Vinhos de mesa;2012
Camarões;-;-;Vinhos de mesa;2012
Canadá;14.304;146.035;Vinhos de mesa;2012
Catar;-;-;Vinhos de mesa;2012
Cayman, Ilhas;-;-;Vinhos de mesa;2012
Chile;8.550;15.438;Vinhos de mesa;2012
China;87.905;642.177;Vinhos de mesa;2012
Chipre;-;-;Vinhos de mesa;2012
Cingapura;1.212;5.310;Vinhos de mesa;2012
Cocos (Keeling), Ilhas;-;-;Vinhos de mesa;2012
Colômbia;-;-;Vinhos de mesa;2012
Comores;-;-;Vinhos de mesa;2012
Congo;-;-;Vinhos de mesa;2012
Coreia, Republica Sul;-;-;Vinhos de mesa;2012
Costa do Marfim;-;-;Vinhos de mesa;2012
Costa Rica;-;-;Vinhos de mesa;2012
Croácia;-;-;Vinhos de mesa;2012
Cuba;-;-;Vinhos de mesa;2012
Curaçao;-;-;Vinhos de mesa;2012
Dinamarca;4.716;23.802;Vinhos de mesa;2012
Dominica;-;-;Vinhos de mesa;2012
El Salvador;-;-;Vinhos de mesa;2012
Emirados Arabes Unidos;675;3.300;Vinhos de mesa;2012
Equador;-;-;Vinhos de mesa;2012
Eslovaca, Republica;-;-;Vinhos de mesa;2012
Espanha;-;-;Vinhos de mesa;2012
Estados Unidos;146.585;303.986;Vinhos de mesa;2012
Estônia;3.321;19.384;Vinhos de mesa;2012
Filipinas;-;-;Vinhos de mesa;2012
Finlândia;17.100;67.959;Vinhos de mesa;2012
França;195.604;185.791;Vinhos de mesa;2012
Gana;-;-;Vinhos de mesa;2012
Gibraltar;-;-;Vinhos de mesa;2012
Granada;-;-;Vinhos de mesa;2012
Grécia;-;-;Vinhos de mesa;2012
Guatemala;-;-;Vinhos de mesa;2012
Guiana;-;-;Vinhos de mesa;2012
Guiana Francesa;-;-;Vinhos de mesa;2012
Guine Bissau;-;-;Vinhos de mesa;2012
Guine Equatorial;819;2.530;Vinhos de mesa;2012
Haiti;-;-;Vinhos de mesa;2012
Honduras;-;-;Vinhos de mesa;2012
Hong Kong;1.609;7.653;Vinhos de mesa;2012
Hungria;-;-;Vinhos de mesa;2012
Ilha de Man;-;-;Vinhos de mesa;2012
Ilhas Virgens;-;-;Vinhos de mesa;2012
India;-;-;Vinhos de mesa;2012
Indonésia;-;-;Vinhos de mesa;2012
Irã;-;-;Vinhos de mesa;2012
Iraque;-;-;Vinhos de mesa;2012
Irlanda;-;-;Vinhos de mesa;2012
Itália;792;5.622;Vinhos de mesa;2012
Jamaica;-;-;Vinhos de mesa;2012
Japão;29.281;116.961;Vinhos de mesa;2012
Jordânia;-;-;Vinhos de mesa;2012
Letônia;-;-;Vinhos de mesa;2012
Líbano;-;-;Vinhos de mesa;2012
Libéria;-;-;Vinhos de mesa;2012
Luxemburgo;2.444;16.547;Vinhos de mesa;2012
Malásia;-;-;Vinhos de mesa;2012
Malta;-;-;Vinhos de mesa;2012
Marshall, Ilhas;-;-;Vinhos de mesa;2012
Mauritânia;-;-;Vinhos de mesa;2012
México;-;-;Vinhos de mesa;2012
Moçambique;-;-;Vinhos de mesa;2012
Montenegro;-;-;Vinhos de mesa;2012
Namibia;-;-;Vinhos de mesa;2012
Nicaragua;-;-;Vinhos de mesa;2012
Nigéria;6.449;10.196;Vinhos de mesa;2012
Noruega;5.104;31.515;Vinhos de mesa;2012
Nova Caledônia;-;-;Vinhos de mesa;2012
Nova Zelândia;2.364;8.817;Vinhos de mesa;2012
Omã;-;-;Vinhos de mesa;2012
Países Baixos;134.879;539.641;Vinhos de mesa;2012
Panamá;39;2.262;Vinhos de mesa;2012
Paraguai;354.824;428.279;Vinhos de mesa;2012
Peru;-;-;Vinhos de mesa;2012
Polônia;21.663;89.158;Vinhos de mesa;2012
Porto Rico;-;-;Vinhos de mesa;2012
Portugal;47.172;47.022;Vinhos de mesa;2012
Quênia;94;458;Vinhos de mesa;2012
Reino Unido;82.937;334.856;Vinhos de mesa;2012
República Dominicana;-;-;Vinhos de mesa;2012
Rússia;4.528.176;2.103.968;Vinhos de mesa;2012
São Tomé e Príncipe;-;-;Vinhos de mesa;2012
São Vicente e Granadinas;-;-;Vinhos de mesa;2012
Senegal;-;-;Vinhos de mesa;2012
Serra Leoa;-;-;Vinhos de mesa;2012
Singapura;-;-;Vinhos de mesa;2012
Suazilândia;-;-;Vinhos de mesa;2012
Suécia;2.705;17.280;Vinhos de mesa;2012
Suíça;4.014;47.240;Vinhos de mesa;2012
Suriname;396;1.288;Vinhos de mesa;2012
Tailândia;-;-;Vinhos de mesa;2012
Taiwan (FORMOSA);-;-;Vinhos de mesa;2012
Tanzânia;-;-;Vinhos de mesa;2012
Tcheca, República;7.960;27.789;Vinhos de mesa;2012
Togo;-;-;Vinhos de mesa;2012
Trinidade Tobago;531;2.720;Vinhos de mesa;2012
Tunísia;-;-;Vinhos de mesa;2012
Turquia;-;-;Vinhos de mesa;2012
Tuvalu;-;-;Vinhos de mesa;2012
Uruguai;1.135;3.879;Vinhos de mesa;2012
Vanuatu;-;-;Vinhos de mesa;2012
Venezuela;1.029;7.492;Vinhos de mesa;2012
Vietnã;-;-;Vinhos de mesa;2012
Total;5.775.376;5.521.293;Vinhos de mesa;2012
Alemanha;833;5.072;Espumantes;2012
Angola;73;1.426;Espumantes;2012
Antigua e Barbuda;-;-;Espumantes;2012
Antilhas Holandesas;-;-;Espumantes;2012
Argentina;-;-;Espumantes;2012
Aruba;-;-;Espumantes;2012
Australia;1.317;11.057;Espumantes;2012
Bahamas;216;2.160;Espumantes;2012
Bangladesh;-;-;Espumantes;2012
Barbados;-;-;Espumantes;2012
Belgica;7.404;40.086;Espumantes;2012
Benin;-;-;Espumantes;2012
Bermudas;-;-;Espumantes;2012
Bolívia;-;-;Espumantes;2012
Bósnia-Herzegovina;-;-;Espumantes;2012
Bulgaria;-;-;Espumantes;2012
Cabo Verde;-;-;Espumantes;2012
Camarões;-;-;Espumantes;2012
Canada;640;4.663;Espumantes;2012
Catar;-;-;Espumantes;2012
Cayman, Ilhas;-;-;Espumantes;2012
Chile;811;10.143;Espumantes;2012
China;3.219;25.604;Espumantes;2012
Chipre;-;-;Espumantes;2012
Cingapura;-;-;Espumantes;2012
Colombia;-;-;Espumantes;2012
Coreia do Sul, Republica da;-;-;Espumantes;2012
Costa Rica;34;30;Espumantes;2012
Cuba;-;-;Espumantes;2012
Curaçao;-;-;Espumantes;2012
Dinamarca;1.296;5.921;Espumantes;2012
Dominica;-;-;Espumantes;2012
El Salvador;-;-;Espumantes;2012
Emirados Arabes Unidos;-;-;Espumantes;2012
Equador;-;-;Espumantes;2012
Espanha;-;-;Espumantes;2012
Estados Unidos;126.129;513.426;Espumantes;2012
Estonia;369;1.882;Espumantes;2012
Falkland (Malvinas);-;-;Espumantes;2012
Filipinas;-;-;Espumantes;2012
Filânldia;378;4.084;Espumantes;2012
França;945;6.116;Espumantes;2012
Gana;-;-;Espumantes;2012
Gibraltar;-;-;Espumantes;2012
Granada;-;-;Espumantes;2012
Grêcia;-;-;Espumantes;2012
Guatemala;-;-;Espumantes;2012
Guiana;-;-;Espumantes;2012
Guiné Equatorial;-;-;Espumantes;2012
Guiné-Bissau;-;-;Espumantes;2012
Haiti;-;-;Espumantes;2012
Honduras;-;-;Espumantes;2012
Hong Kong;320;2.753;Espumantes;2012
Hungria;-;-;Espumantes;2012
Ilha de Man;-;-;Espumantes;2012
Índia;-;-;Espumantes;2012
Iraque;-;-;Espumantes;2012
Irlanda;450;4.200;Espumantes;2012
Islândia;-;-;Espumantes;2012
Italia;90;1.894;Espumantes;2012
Japão;1.197;8.217;Espumantes;2012
Jordânia;-;-;Espumantes;2012
Letonia;-;-;Espumantes;2012
Líbano;-;-;Espumantes;2012
Libéria;-;-;Espumantes;2012
Luxemburgo;-;-;Espumantes;2012
Maldivas;-;-;Espumantes;2012
Malta;-;-;Espumantes;2012
Marshall, Ilhas;-;-;Espumantes;2012
Montenegro;-;-;Espumantes;2012
Mexico;-;-;Espumantes;2012
Nicarágua;-;-;Espumantes;2012
Nigéria;388;1.984;Espumantes;2012
Noruega;1.534;15.933;Espumantes;2012
Nova Zelandia;150;1.021;Espumantes;2012
Paises Baixos (Holanda);3.854;25.485;Espumantes;2012
Panama;-;-;Espumantes;2012
Paraguai;3.568;10.442;Espumantes;2012
Peru;-;-;Espumantes;2012
Polonia;-;-;Espumantes;2012
Porto Rico;-;-;Espumantes;2012
Portugal;-;-;Espumantes;2012
Quenia;80;483;Espumantes;2012
Reino Unido;11.896;66.897;Espumantes;2012
Republica Dominicana;-;-;Espumantes;2012
Republica Tcheca;-;-;Espumantes;2012
Russia;-;-;Espumantes;2012
Serra Leoa;-;-;Espumantes;2012
Singapura;-;-;Espumantes;2012
Suecia;-;-;Espumantes;2012
Suiça;3.780;31.080;Espumantes;2012
Suriname;-;-;Espumantes;2012
Tailandia;-;-;Espumantes;2012
Taiwan (Formosa);-;-;Espumantes;2012
Trinidade e Tobago;383;1.785;Espumantes;2012
Turquia;-;-;Espumantes;2012
Uruguai;-;-;Espumantes;2012
Vanuatu;-;-;Espumantes;2012
Venezuela;1.470;10.065;Espumantes;2012
Vietnã;-;-;Espumantes;2012
Outros(1);-;-;Espumantes;2012
Total;172.824;813.909;Espumantes;2012
Africa do Sul;-;-;Uvas frescas;2012
Alemanha, República Democrática;1.021.075;2.064.845;Uvas frescas;2012
Angola;350;2.492;Uvas frescas;2012
Antígua e Barbuda;-;-;Uvas frescas;2012
Arabia Saudita;-;-;Uvas frescas;2012
Argélia;-;-;Uvas frescas;2012
Argentina;170.851;298.692;Uvas frescas;2012
Áustria;-;-;Uvas frescas;2012
Bahamas;-;-;Uvas frescas;2012
Bahrein;-;-;Uvas frescas;2012
Bangladesh;-;-;Uvas frescas;2012
Barbados;-;-;Uvas frescas;2012
Barein;-;-;Uvas frescas;2012
Bélgica;-;-;Uvas frescas;2012
Belize;-;-;Uvas frescas;2012
Bermudas;-;-;Uvas frescas;2012
Bolívia;17;96;Uvas frescas;2012
Bosnia;-;-;Uvas frescas;2012
Brasil;-;-;Uvas frescas;2012
Bulgária;-;-;Uvas frescas;2012
Burquina Faso;-;-;Uvas frescas;2012
Cabo Verde;-;-;Uvas frescas;2012
Camarões;-;-;Uvas frescas;2012
Camores;-;-;Uvas frescas;2012
Canadá;751.591;2.143.723;Uvas frescas;2012
Catar;-;-;Uvas frescas;2012
Cayman, Ilhas;-;-;Uvas frescas;2012
Chile;-;-;Uvas frescas;2012
China;-;-;Uvas frescas;2012
Chipre;-;-;Uvas frescas;2012
Cingapura;-;-;Uvas frescas;2012
Cocos (Keeling), Ilhas;-;-;Uvas frescas;2012
Colombia;-;-;Uvas frescas;2012
Congo;-;-;Uvas frescas;2012
Coreia do Norte;-;-;Uvas frescas;2012
Coreia do Sul;-;-;Uvas frescas;2012
Costa do Marfim;-;-;Uvas frescas;2012
Coveite;-;-;Uvas frescas;2012
Croácia;-;-;Uvas frescas;2012
Curaçao;-;-;Uvas frescas;2012
Dinamarca;12.480;40.211;Uvas frescas;2012
Djibuti;-;-;Uvas frescas;2012
Egito;-;-;Uvas frescas;2012
Emirados Arabes Unidos;65.280;133.946;Uvas frescas;2012
Eslovenia;-;-;Uvas frescas;2012
Espanha;-;-;Uvas frescas;2012
Estados Unidos;8.825.628;19.162.062;Uvas frescas;2012
Falkland (Ilhas Malvinas);-;-;Uvas frescas;2012
Faroé, Ilhas;-;-;Uvas frescas;2012
Filipinas;-;-;Uvas frescas;2012
Finlândia;109.278;445.626;Uvas frescas;2012
França;-;-;Uvas frescas;2012
Gabão;-;-;Uvas frescas;2012
Gana;-;-;Uvas frescas;2012
Georgia;-;-;Uvas frescas;2012
Gibraltar;-;-;Uvas frescas;2012
Grêcia;-;-;Uvas frescas;2012
Guadalupe;-;-;Uvas frescas;2012
Guiana;-;-;Uvas frescas;2012
Guiana Francesa;-;-;Uvas frescas;2012
Guine Equatorial;80;598;Uvas frescas;2012
Honduras;-;-;Uvas frescas;2012
Hong Kong;-;-;Uvas frescas;2012
Ilha de Man;-;-;Uvas frescas;2012
Ilhas Virgens;-;-;Uvas frescas;2012
Índia;-;-;Uvas frescas;2012
Indonésia;-;-;Uvas frescas;2012
Irã;-;-;Uvas frescas;2012
Irlanda;61.300;56.563;Uvas frescas;2012
Islandia;-;-;Uvas frescas;2012
Itália;118.705;383.214;Uvas frescas;2012
Japão;-;-;Uvas frescas;2012
Jérsei;-;-;Uvas frescas;2012
Jordânia;-;-;Uvas frescas;2012
Letonia;-;-;Uvas frescas;2012
Líbano;-;-;Uvas frescas;2012
Libéria;-;-;Uvas frescas;2012
Líbia;-;-;Uvas frescas;2012
Lituania;111.944;302.874;Uvas frescas;2012
Luxemburgo;4.320;15.993;Uvas frescas;2012
Malasia;-;-;Uvas frescas;2012
Malta;-;-;Uvas frescas;2012
Marrocos;-;-;Uvas frescas;2012
Marshall, Ilhas;-;-;Uvas frescas;2012
Martinica;-;-;Uvas frescas;2012
Mauricio;-;-;Uvas frescas;2012
Mauritânia;-;-;Uvas frescas;2012
Mexico;-;-;Uvas frescas;2012
Mônaco;-;-;Uvas frescas;2012
Mongólia;-;-;Uvas frescas;2012
Montenegro;-;-;Uvas frescas;2012
Nigéria;-;-;Uvas frescas;2012
Noruega;1.273.703;3.748.091;Uvas frescas;2012
Omã;-;-;Uvas frescas;2012
Países Baixos;26.638.825;61.694.552;Uvas frescas;2012
Panamá;-;-;Uvas frescas;2012
Paquistão;-;-;Uvas frescas;2012
Paraguai;2.005;4.205;Uvas frescas;2012
Polonia;-;-;Uvas frescas;2012
Porto Rico;-;-;Uvas frescas;2012
Portugal;-;-;Uvas frescas;2012
Reino Unido;12.426.198;30.179.689;Uvas frescas;2012
Republica Dominicana;-;-;Uvas frescas;2012
Romênia;-;-;Uvas frescas;2012
Russia,  Federação da;45.320;104.620;Uvas frescas;2012
Samoa Americana;-;-;Uvas frescas;2012
São Tomé e Principe;-;-;Uvas frescas;2012
São Vicente e Granadinas;-;-;Uvas frescas;2012
Serra Leoa;-;-;Uvas frescas;2012
Senegal;-;-;Uvas frescas;2012
Singapura;-;-;Uvas frescas;2012
Sri Lanka;-;-;Uvas frescas;2012
Suécia;364.265;1.076.257;Uvas frescas;2012
Suíça;-;-;Uvas frescas;2012
Suriname;-;-;Uvas frescas;2012
Tailândia;-;-;Uvas frescas;2012
Taiwan;-;-;Uvas frescas;2012
Togo;-;-;Uvas frescas;2012
Trindade e Tobago;-;-;Uvas frescas;2012
Turcas e Caicos, ilhas;-;-;Uvas frescas;2012
Turquia;-;-;Uvas frescas;2012
Tuvalu;-;-;Uvas frescas;2012
Uruguai;14.864;39.923;Uvas frescas;2012
Vanuatu;-;-;Uvas frescas;2012
Venezuela;-;-;Uvas frescas;2012
Vietnã;-;-;Uvas frescas;2012
Provisão de Navios e Aeronaves;-;-;Uvas frescas;2012
Total;52.018.079;121.898.272;Uvas frescas;2012
África do Sul;3.739;6.324;Suco de uva;2012
Alemanha, República Democrática da;1;1;Suco de uva;2012
Angola;-;-;Suco de uva;2012
Antígua e Barbuda;-;-;Suco de uva;2012
Antilhas Holandesas;-;-;Suco de uva;2012
Arábia Saudita;-;-;Suco de uva;2012
Argélia;-;-;Suco de uva;2012
Argentina;2.505;34.018;Suco de uva;2012
Aruba;-;-;Suco de uva;2012
Austrália;-;-;Suco de uva;2012
Áustria;-;-;Suco de uva;2012
Bahamas;-;-;Suco de uva;2012
Bangladesh;-;-;Suco de uva;2012
Barbados;-;-;Suco de uva;2012
Barein;-;-;Suco de uva;2012
Bélgica;-;-;Suco de uva;2012
Belize;-;-;Suco de uva;2012
Benin;-;-;Suco de uva;2012
Bermudas;-;-;Suco de uva;2012
Birmânia;-;-;Suco de uva;2012
Bolívia;4.468;11.723;Suco de uva;2012
